volume,type,publisher,authors,year,eid,title,pages,cited_by_count,number,open_access,topics,journal,doi,concepts
7,journal-article,Elsevier BV,"Ţînţaş, Mihaela-Liliana and Peulon-Agasse, Valérie and Piparo, Marco and Giusti, Pierre and Mallet, Jean-Maurice and Cardinael, Pascal",2025,2-s2.0-105004043484,New silicon phthalocyanine-containing polysiloxanes as stationary phases for high-temperature gas chromatography analysis,,1,,True,"['Analytical Chemistry and Chromatography', 'Advanced Chemical Sensor Technologies', 'Analytical Chemistry and Sensors']",Journal of Chromatography Open,10.1016/j.jcoa.2025.100221,"[{'name': 'Silicon', 'score': 0.6290169358253479}, {'name': 'Gas chromatography', 'score': 0.5977055430412292}, {'name': 'Phthalocyanine', 'score': 0.5134333372116089}, {'name': 'Materials science', 'score': 0.4206463098526001}, {'name': 'Chemistry', 'score': 0.4174686074256897}, {'name': 'Analytical Chemistry (journal)', 'score': 0.3738887906074524}, {'name': 'Chromatography', 'score': 0.343809574842453}, {'name': 'Organic chemistry', 'score': 0.22953200340270996}]"
39,journal-article,American Chemical Society (ACS),"Chacón-Patiño, Martha L. and Frye-Jones, Joseph W. and Anderson, Lissa C. and Robbins, Winston K. and Salvato Vallverdu, Germain and Tello-Rodríguez, Álvaro J. and Ruiz, Wladimir and Gascon, German and Rüger, Christopher P. and Dayton, David C. and Giusti, Pierre and Mase, Charlotte and Barrère-Mangote, Caroline and Afonso, Carlos and Bouyssiere, Brice and Rodgers, Ryan P.",2025,2-s2.0-85217112514,Detailed Molecular Composition of Wood Pyrolysis Bio-Oils Revealed by HPLC-FT-ICR MS,3575-3588,5,,False,"['Thermochemical Biomass Conversion Processes', 'Petroleum Processing and Analysis', 'Lignin and Wood Chemistry']",Energy &amp; Fuels,10.1021/acs.energyfuels.4c05674,"[{'name': 'Chemistry', 'score': 0.7540943026542664}, {'name': 'Fourier transform ion cyclotron resonance', 'score': 0.6714072227478027}, {'name': 'High-performance liquid chromatography', 'score': 0.6380423307418823}, {'name': 'Pyrolysis', 'score': 0.6163895726203918}, {'name': 'Mass spectrometry', 'score': 0.5967005491256714}, {'name': 'Chromatography', 'score': 0.507326066493988}, {'name': 'Methanol', 'score': 0.47183042764663696}, {'name': 'Analytical Chemistry (journal)', 'score': 0.347138911485672}]"
39,journal-article,American Chemical Society (ACS),"Ureel, Yannick and Chacón-Patiño, Martha L. and Kusenberg, Marvin and Ginzburg, Anton and Rodgers, Ryan P. and Sabbe, Maarten K. and Van Geem, Kevin M.",2025,2-s2.0-85207252660,Compositional Analysis of Oxygenates and Hydrocarbons in Waste and Virgin Polyolefin Pyrolysis Oils by Ultrahigh-Resolution Fourier Transform Ion Cyclotron Resonance Mass Spectrometry,1283-1295,8,,True,"['Petroleum Processing and Analysis', 'Thermochemical Biomass Conversion Processes', 'Microbial bioremediation and biosurfactants']",Energy &amp; Fuels,10.1021/acs.energyfuels.4c03835,"[{'name': 'Fourier transform ion cyclotron resonance', 'score': 0.9033993482589722}, {'name': 'Pyrolysis', 'score': 0.7162148952484131}, {'name': 'Mass spectrometry', 'score': 0.6794103384017944}, {'name': 'Polyolefin', 'score': 0.6604852676391602}, {'name': 'Chemistry', 'score': 0.5160514712333679}, {'name': 'Analytical Chemistry (journal)', 'score': 0.48819857835769653}, {'name': 'Oxygenate', 'score': 0.48150381445884705}, {'name': 'Resolution (logic)', 'score': 0.47446805238723755}]"
39,journal-article,American Chemical Society (ACS),"Dossche, Gilles and Ureel, Yannick and Aguilera, Martha L. and Kusenberg, Marvin and Rodgers, Ryan P. and Sabbe, Maarten K. and Van Geem, Kevin M.",2025,2-s2.0-105024237994,Characterization and Source Tracing of Nitrogenates and Halogens in Polyolefin Waste Pyrolysis Oils by Ultrahigh-Resolution FT-ICR MS,22780-22796,1,,True,"['Thermochemical Biomass Conversion Processes', 'Microplastics and Plastic Pollution', 'Microbial bioremediation and biosurfactants']",Energy &amp; Fuels,10.1021/acs.energyfuels.5c04213,"[{'name': 'Pyrolysis', 'score': 0.8407999873161316}, {'name': 'Incineration', 'score': 0.7026000022888184}, {'name': 'Petrochemical', 'score': 0.6391000151634216}, {'name': 'Chlorine', 'score': 0.6279000043869019}, {'name': 'Chemistry', 'score': 0.6195999979972839}, {'name': 'Halogen', 'score': 0.5986999869346619}, {'name': 'Polyolefin', 'score': 0.5189999938011169}, {'name': 'Pyrolysis–gas chromatography–mass spectrometry', 'score': 0.5016000270843506}]"
701,journal-article,Elsevier BV,"Vargas, Vicmary and Castillo, Jimmy and Bouyssiere, Brice and Carrier, Herve and Radji, Sadia",2024,2-s2.0-85199200173,Study of asphaltenes and sub-fraction nanoaggregates by AFM force spectroscopy,,4,,True,"['Petroleum Processing and Analysis', 'Hydrocarbon exploration and reservoir analysis', 'Enhanced Oil Recovery Techniques']",Colloids and Surfaces A: Physicochemical and Engineering Aspects,10.1016/j.colsurfa.2024.134638,"[{'name': 'Asphaltene', 'score': 0.8496731519699097}, {'name': 'Atomic force microscopy', 'score': 0.7791300415992737}, {'name': 'Force spectroscopy', 'score': 0.7715194225311279}, {'name': 'Fraction (chemistry)', 'score': 0.6306076049804688}, {'name': 'Spectroscopy', 'score': 0.5442550182342529}, {'name': 'Materials science', 'score': 0.4850672781467438}, {'name': 'Chemical engineering', 'score': 0.3947071433067322}, {'name': 'Chemistry', 'score': 0.3711397647857666}]"
38,journal-article,American Chemical Society (ACS),"Juyal, Priyanka and Chacón-Patiño, Martha Liliana and Rodgers, Ryan P.",2024,2-s2.0-85207391007,Fractionation and Characterization of Acidic Compounds of Flowline and Separator Asphaltene Deposits from a Gulf of Mexico Field,20361-20373,5,,False,"['Petroleum Processing and Analysis', 'Hydrocarbon exploration and reservoir analysis', 'Enhanced Oil Recovery Techniques']",Energy &amp; Fuels,10.1021/acs.energyfuels.4c03528,"[{'name': 'Asphaltene', 'score': 0.9048986434936523}, {'name': 'Fractionation', 'score': 0.7212926745414734}, {'name': 'Separator (oil production)', 'score': 0.7186554670333862}, {'name': 'Chromatography', 'score': 0.4451165795326233}, {'name': 'Chemistry', 'score': 0.4277041256427765}, {'name': 'Characterization (materials science)', 'score': 0.42518752813339233}, {'name': 'Mineralogy', 'score': 0.3761900067329407}, {'name': 'Chemical engineering', 'score': 0.341410756111145}]"
96,journal-article,American Chemical Society (ACS),"Devaux, Jason and Barrère-Mangote, Caroline and Giusti, Pierre and Heinisch, Sabine and Afonso, Carlos and Mignot, Mélanie",2024,2-s2.0-85203835737,Online Supercritical Fluid Chromatography Hyphenated to Fourier Transform Ion Cyclotron Resonance Mass Spectrometry with Quadrupole Detection for Microalgae Bio-Oil Characterization,15134-15141,2,,False,"['Analytical Chemistry and Chromatography', 'Petroleum Processing and Analysis', 'Algal biology and biofuel production']",Analytical Chemistry,10.1021/acs.analchem.4c01779,"[{'name': 'Chemistry', 'score': 0.9552949666976929}, {'name': 'Fourier transform ion cyclotron resonance', 'score': 0.8639863133430481}, {'name': 'Mass spectrometry', 'score': 0.6732760071754456}, {'name': 'Chromatography', 'score': 0.5924766063690186}, {'name': 'Supercritical fluid', 'score': 0.5297739505767822}, {'name': 'Selected ion monitoring', 'score': 0.5234400629997253}, {'name': 'Characterization (materials science)', 'score': 0.4845542013645172}, {'name': 'Supercritical fluid chromatography', 'score': 0.4579769968986511}]"
96,journal-article,American Chemical Society (ACS),"Ruiz, Wladimir and Fontagné-Dicharry, Stéphanie and Verdier, Sylvain and Dayton, David C. and Guillemant, Julie and Moulian, Rémi and Giusti, Pierre and Barrère-Mangote, Caroline and Bouyssiere, Brice",2024,2-s2.0-85203842830,Quantifying Phospholipids in Organic Samples Using a Hydrophilic Interaction Liquid Chromatography–Inductively Coupled Plasma High-Resolution Mass Spectrometry (HILIC-ICP-HRMS) Method,15142-15150,1,,True,"['Analytical Chemistry and Chromatography', 'Mass Spectrometry Techniques and Applications', 'Metabolomics and Mass Spectrometry Studies']",Analytical Chemistry,10.1021/acs.analchem.4c01883,"[{'name': 'Chemistry', 'score': 0.9447771310806274}, {'name': 'Hydrophilic interaction chromatography', 'score': 0.9240550398826599}, {'name': 'Chromatography', 'score': 0.8615684509277344}, {'name': 'Mass spectrometry', 'score': 0.6164641976356506}, {'name': 'Sample preparation', 'score': 0.5701630711555481}, {'name': 'Solid phase extraction', 'score': 0.49392420053482056}, {'name': 'Resolution (logic)', 'score': 0.4561161696910858}, {'name': 'Inductively coupled plasma mass spectrometry', 'score': 0.452894389629364}]"
38,journal-article,American Chemical Society (ACS),"Ruiz, Wladimir and Gascon, German and Rodgers, Ryan P. and Dayton, David C. and Barrère-Mangote, Caroline and Giusti, Pierre and Bouyssiere, Brice and Chacón-Patiño, Martha L.",2024,2-s2.0-85201150868,Ultrasound-Assisted Sequential Extraction for Lignocellulose Pyrolysis Bio-oil Fractionation. Part II: Comparative Application,17697-17705,2,,False,"['Thermochemical Biomass Conversion Processes', 'Petroleum Processing and Analysis', 'Hydrocarbon exploration and reservoir analysis']",Energy &amp; Fuels,10.1021/acs.energyfuels.4c02496,"[{'name': 'Pyrolysis', 'score': 0.8203165531158447}, {'name': 'Fractionation', 'score': 0.7693338394165039}, {'name': 'Extraction (chemistry)', 'score': 0.6624609231948853}, {'name': 'Pulp and paper industry', 'score': 0.5307396054267883}, {'name': 'Chemistry', 'score': 0.5191399455070496}, {'name': 'Pyrolysis oil', 'score': 0.47926875948905945}, {'name': 'Chromatography', 'score': 0.34294363856315613}, {'name': 'Environmental science', 'score': 0.3311586081981659}]"
38,journal-article,American Chemical Society (ACS),"Ruiz, Wladimir and Gascon, German and Chacón-Patiño, Martha L. and Rodgers, Ryan P. and Dayton, David C. and Barrère-Mangote, Caroline and Giusti, Pierre and Bouyssiere, Brice",2024,2-s2.0-85201150528,Ultrasound-Assisted Sequential Extraction for Lignocellulose Pyrolysis Bio-Oil Fractionation. Part I: Method Development,17687-17696,5,,False,"['Thermochemical Biomass Conversion Processes', 'Lignin and Wood Chemistry', 'Biofuel production and bioconversion']",Energy &amp; Fuels,10.1021/acs.energyfuels.4c01959,"[{'name': 'Fractionation', 'score': 0.875765860080719}, {'name': 'Chemistry', 'score': 0.7147334218025208}, {'name': 'Pyrolysis', 'score': 0.626926839351654}, {'name': 'Chromatography', 'score': 0.623210072517395}, {'name': 'Gel permeation chromatography', 'score': 0.5641765594482422}, {'name': 'Extraction (chemistry)', 'score': 0.532139241695404}, {'name': 'Lignin', 'score': 0.5280725955963135}, {'name': 'Fraction (chemistry)', 'score': 0.5138283371925354}]"
38,journal-article,American Chemical Society (ACS),"Lacroix-Andrivet, Oscar and Castaing, Sandrine and Hubert-Roux, Marie and Loutelier Bourhis, Corinne and Mendes Siqueira, Anna Luiza and Afonso, Carlos",2024,2-s2.0-85202963156,Characterization of Recycled Base Oils for Lubricants Using Statistical Approaches on Orbitrap Mass Spectrometry Data,17847-17854,0,,False,"['Petroleum Processing and Analysis', 'Mass Spectrometry Techniques and Applications', 'Analytical Chemistry and Chromatography']",Energy &amp; Fuels,10.1021/acs.energyfuels.4c02785,"[{'name': 'Orbitrap', 'score': 0.7796149253845215}, {'name': 'Atmospheric-pressure chemical ionization', 'score': 0.6329638957977295}, {'name': 'Mass spectrometry', 'score': 0.5829240083694458}, {'name': 'Raw material', 'score': 0.5791726112365723}, {'name': 'Chemistry', 'score': 0.5577730536460876}, {'name': 'Characterization (materials science)', 'score': 0.4942622184753418}, {'name': 'Environmental chemistry', 'score': 0.4870508015155792}, {'name': 'Electrospray ionization', 'score': 0.4662797451019287}]"
96,journal-article,American Chemical Society (ACS),"Tiemann, Ole and Rüger, Christopher P. and Schwalb, Lukas and Chacón-Patiño, Martha L. and Gröger, Thomas and Zimmermann, Ralf",2024,2-s2.0-85200340274,Rock-to-Pharma: Characterization of Shale Oil-Based Nonbiological Complex Drugs along the Production Process by High-Resolution Mass Spectrometry,13050-13060,3,,False,"['Analytical Chemistry and Chromatography', 'Mass Spectrometry Techniques and Applications', 'Petroleum Processing and Analysis']",Analytical Chemistry,10.1021/acs.analchem.4c01288,"[{'name': 'Chemistry', 'score': 0.9051262140274048}, {'name': 'Fourier transform ion cyclotron resonance', 'score': 0.7638462781906128}, {'name': 'Mass spectrometry', 'score': 0.6746247410774231}, {'name': 'Distillation', 'score': 0.5233737230300903}, {'name': 'Complex matrix', 'score': 0.5138209462165833}, {'name': 'Characterization (materials science)', 'score': 0.4455646276473999}, {'name': 'Shale oil', 'score': 0.4136376678943634}, {'name': 'High resolution', 'score': 0.41112056374549866}]"
181,journal-article,Elsevier BV,"Lazzari, Eliane and Mase, Charlotte and Dayton, David C. and Marceau, Sabrina and Purcaro, Giorgia and Focant, Jean-François and Piparo, Marco and Giusti, Pierre",2024,2-s2.0-85195208903,Exploring molecular composition of upgraded pyrolysis bio-oil using GC×GC-(EI/PI)-TOF MS with different column set-ups,,9,,True,"['Thermochemical Biomass Conversion Processes', 'Petroleum Processing and Analysis', 'Zeolite Catalysis and Synthesis']",Journal of Analytical and Applied Pyrolysis,10.1016/j.jaap.2024.106569,"[{'name': 'Pyrolysis', 'score': 0.8406985998153687}, {'name': 'Composition (language)', 'score': 0.580037534236908}, {'name': 'Chromatography', 'score': 0.5091728568077087}, {'name': 'Chemistry', 'score': 0.47754037380218506}, {'name': 'Gas chromatography–mass spectrometry', 'score': 0.4767414331436157}, {'name': 'Column (typography)', 'score': 0.4458247423171997}, {'name': 'Propane', 'score': 0.43965452909469604}, {'name': 'Gas chromatography', 'score': 0.41591185331344604}]"
96,journal-article,American Chemical Society (ACS),"Wootton, Christopher A. and Maillard, Julien and Theisen, Alina and Brabeck, Gregory F. and Schat, Carlos L. and Rüger, Christopher P. and Afonso, Carlos and Giusti, Pierre",2024,2-s2.0-85198044754,A Gated TIMS FTICR MS Instrument to Decipher Isomeric Content of Complex Organic Mixtures,11343-11352,7,,False,"['Mass Spectrometry Techniques and Applications', 'Analytical Chemistry and Chromatography', 'Analytical chemistry methods development']",Analytical Chemistry,10.1021/acs.analchem.4c01370,"[{'name': 'Chemistry', 'score': 0.9710795879364014}, {'name': 'DECIPHER', 'score': 0.8401365280151367}, {'name': 'Analytical Chemistry (journal)', 'score': 0.39727669954299927}, {'name': 'Chromatography', 'score': 0.3505436182022095}, {'name': 'Environmental chemistry', 'score': 0.32270312309265137}, {'name': 'Genetics', 'score': 0.0}, {'name': 'Biology', 'score': 0.0}]"
96,journal-article,American Chemical Society (ACS),"García-Bellido, Javier and Redondo-Velasco, Montserrat and Freije-Carrelo, Laura and Burnens, Gaëtan and Moldovan, Mariella and Bouyssiere, Brice and Giusti, Pierre and Encinar, Jorge Ruiz",2024,2-s2.0-85196544271,Sensitive Detection and Quantification of Oxygenated Compounds in Complex Samples Using GC-Combustion-MS,10756-10764,6,,True,"['Mass Spectrometry Techniques and Applications', 'Analytical Chemistry and Chromatography', 'Analytical chemistry methods development']",Analytical Chemistry,10.1021/acs.analchem.4c01858,"[{'name': 'Chemistry', 'score': 0.9344619512557983}, {'name': 'Oxygenate', 'score': 0.9217320680618286}, {'name': 'Oxidizing agent', 'score': 0.8072822093963623}, {'name': 'Combustion', 'score': 0.6103314161300659}, {'name': 'Detection limit', 'score': 0.5994342565536499}, {'name': 'Chromatography', 'score': 0.5207090973854065}, {'name': 'Gas chromatography', 'score': 0.49824094772338867}, {'name': 'Oxygen', 'score': 0.4744488000869751}]"
38,journal-article,American Chemical Society (ACS),"Ureel, Yannick and Chacón-Patiño, Martha L. and Kusenberg, Marvin and Rodgers, Ryan P. and Sabbe, Maarten K. and Van Geem, Kevin M.",2024,2-s2.0-85194945705,Characterization of PP and PE Waste Pyrolysis Oils by Ultrahigh-Resolution Fourier Transform Ion Cyclotron Resonance Mass Spectrometry,11148-11160,16,,True,"['Petroleum Processing and Analysis', 'Hydrocarbon exploration and reservoir analysis', 'Thermochemical Biomass Conversion Processes']",Energy &amp; Fuels,10.1021/acs.energyfuels.4c01954,"[{'name': 'Fourier transform ion cyclotron resonance', 'score': 0.912035346031189}, {'name': 'Mass spectrometry', 'score': 0.7127081155776978}, {'name': 'Pyrolysis', 'score': 0.672460675239563}, {'name': 'Characterization (materials science)', 'score': 0.6519623398780823}, {'name': 'Ion', 'score': 0.5322332978248596}, {'name': 'Analytical Chemistry (journal)', 'score': 0.522190511226654}, {'name': 'Fourier transform', 'score': 0.5219182968139648}, {'name': 'Resolution (logic)', 'score': 0.5069013237953186}]"
